Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Slug,Название фото,photo_path,match,tier,is_stale,alias_group
Adagum Saperavi,Красное,Глубокий тёмно-рубиновый,Кубань,Саперави,"Интенсивный аромат тёмных ягод, тутовника, слив с пряными тонами. Вкус насыщенный, плотный, с заметными танинами и долгим тёмно-ягодным послевкусием.
Отлично к шашлыку, тушёной баранине, острым блюдам кавказской кухни, жирным сырам и блюдам с аджикой.",Olymp Winery,olymp-winery-adagum-saperavi-saperavi-krasnoe-suhoe-11,olymp-winery-adagum-saperavi-saperavi-krasnoe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_saperavi_saperavi_krasnoe_suhoe_11_6a6ed2cae1.webp,ok,1,False,
Adagum Sauvignon,Белое,Светло-соломенный с зеленоватым оттенком,Кубань,Совиньон Блан,"Яркий сортовой аромат: лайм, грейпфрут, свежескошенная трава, цветки смородины, манго. Вкус гармоничный и изящный, с хорошей сортовой кислотностью.
Хорошо к рыбным блюдам, морепродуктам, зелёным салатам, мягким сырам, куриному мясу с травами.",Olymp Winery,olymp-winery-adagum-sauvignon-sovinon-blan-beloe-suhoe-11,olymp-winery-adagum-sauvignon-sovinon-blan-beloe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_sauvignon_sovinon_blan_beloe_suhoe_11_759c83d0e0.webp,ok,1,False,
Adagum Valley Merlot,Красное,Рубиновый с фиолетовым отливом,Кубань,Мерло,"Мягкий аромат спелой вишни, слив, шоколада и лёгких пряностей. Вкус округлый, бархатистый, с мягкими танинами, сбалансированной кислотностью и приятным длительным послевкусием.
Идеально к мясным блюдам, телятине, ягнятине, пасте с болоньезе, сырам средней выдержки.",Olymp Winery,olymp-winery-adagum-valley-merlot-merlo-krasnoe-suhoe-11,olymp-winery-adagum-valley-merlot-merlo-krasnoe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_valley_merlot_merlo_krasnoe_suhoe_11_3ec3bdd7ea.webp,ok,1,False,
Adagum Valley Pinot Noir,Красное,Светло-рубиновый,Кубань,Пино Нуар,"Аромат красных ягод — вишни, малины, земляники — с тонким флёром специй и лёгкими нотами сухих цветов. Вкус элегантный, с мягкими танинами, свежей кислотностью и ягодным послевкусием.
Идеален к блюдам из утки и дичи, телятине, пасте с томатным соусом, сырам типа бри, лёгким мясным закускам.",Olymp Winery,olymp-winery-adagum-valley-pinot-noir-pino-nuar-krasnoe-suhoe-11,olymp-winery-adagum-valley-pinot-noir-pino-nuar-krasnoe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_valley_pinot_noir_pino_nuar_krasnoe_suhoe_11_f03c68421f.webp,ok,1,False,
Adagum Valley Riesling,Белое,Соломенный с золотистыми бликами,Кубань,Рислинг Рейнский,"Утончённый аромат белых цветов, спелых яблок, груши, цитрусовых с нюансами абрикоса и лимонной цедры. Вкус освежающий, с живой кислотностью и продолжительным фруктово-цветочным послевкусием.
Рекомендуется как аперитив, к холодным закускам, рыбе и морепродуктам, запечённому сибасу, кальмарам на гриле, судаку.",Olymp Winery,olymp-winery-adagum-valley-riesling-risling-reynskiy-beloe-suhoe-11,olymp-winery-adagum-valley-riesling-risling-reynskiy-beloe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_valley_riesling_risling_reynskiy_beloe_suhoe_11_c4f049c0fc.webp,ok,1,False,
Adagum Valley Rkatsiteli,Белое,Светло-соломенный,Кубань,Ркацители,"Изящный аромат спелых косточковых фруктов: абрикоса, жёлтых яблок, груш, персиков и айвы, с медовыми и цветочными нюансами. Вкус освежающий, с хорошей кислотностью и долгим фруктовым послевкусием.
Рекомендуется к морепродуктам и рыбе, креветкам на гриле с цитрусовым соусом, свежим устрицам, лёгким овощным салатам.",Olymp Winery,olymp-winery-adagum-valley-rkatsiteli-rkatsiteli-beloe-suhoe-10,olymp-winery-adagum-valley-rkatsiteli-rkatsiteli-beloe-suhoe-10.webp,prod-svoe-vino-strapi\olymp_winery_adagum_valley_rkatsiteli_rkatsiteli_beloe_suhoe_10_ddfa4f8a06.webp,ok,1,False,
Adagum Valley Saperavi,Красное,Глубокий тёмно-рубиновый,Кубань,Саперави,"Интенсивный аромат тёмных ягод, тутовника, тёрна с пряными нотами. Вкус насыщенный, плотный, с ярко выраженными танинами и долгим тёмно-ягодным послевкусием.
Отлично к шашлыку, тушёной баранине, острым блюдам кавказской кухни, выдержанным жирным сырам.",Olymp Winery,olymp-winery-adagum-valley-saperavi-saperavi-krasnoe-suhoe-12,olymp-winery-adagum-valley-saperavi-saperavi-krasnoe-suhoe-12.webp,prod-svoe-vino-strapi\olymp_winery_adagum_valley_saperavi_saperavi_krasnoe_suhoe_12_90b75e8147.webp,ok,1,False,
Agora ROSA VIVA Cabernet Franc,Красное,Рубиновый,Крым,Каберне Фран,"Во вкусе – бархатистая сила красных ягод, тонкие танины и долгое спокойное послевкусие.
Аромат – спелая ежевика, зелёный перец, лёгкая дымка и пряные травы. ",AGORA WINERY,agora-rosa-viva-cabernet-franc,fpZEJhYZPstBYLV_1775199670.webp,prod-svoe-vino-strapi\fp_ZE_Jh_YZ_Pst_BYLV_1775199670_92154c67f4.webp,ok,1,False,
Agora ROSA VIVA Cabernet Sauvignon Shiraz,Красное,Рубиновый,Крым,"Каберне Совиньон, Шираз","Во вкусе – насыщенность и шелковистость с оттенками сочных ягод, плавно переходящими в долгое и выразительное послевкусие.

Аромат – глубокие ноты чёрной смородины, кизила, клюквы и пряностей, словно огонь, что согревает душу. ",AGORA WINERY,agora-rosa-viva-cabernet-sauvignon-shiraz,22RA11aBWFX8Yu9_1775199820.webp,prod-svoe-vino-strapi\22_RA_11a_BWFX_8_Yu9_1775199820_d1ccb7706c.webp,ok,1,False,
Agora ROSA VIVA Muscat,Розовое,Светло-розовый,Крым,Мускат,"Во вкусе — нежность и шелковистость, где естественная сладость встречается со свежестью, оставляя тонкое, долгое фруктовое послевкусие.

Аромат – клубника после дождя, лепестки роз и сладость персика на тёплом солнце. ",AGORA WINERY,agora-rosa-viva-muscat,kOtRttCJvP1R7jP_1775199321.webp,prod-svoe-vino-strapi\k_Ot_Rtt_C_Jv_P1_R7j_P_1775199321_a3cb38eb82.webp,ok,1,False,
Agora ROSA VIVA Riesling,Белое,Светло-соломенный,Крым,Рислинг Рейнский,"Во вкусе – свежесть зеленого яблока и грейпфрута, переплетающаяся с минеральностью, которая плавно перетекает в послевкусие.

Аромат – это дыхание грейпфрута и белых цветов, тонкая свежесть утреннего сада.",AGORA WINERY,agora-rosa-viva-riesling,BYrAbT0xREdRg8j_1775199389.webp,prod-svoe-vino-strapi\B_Yr_Ab_T0x_R_Ed_Rg8j_1775199389_86635deb7f.webp,ok,1,False,
Agora Rosa Viva Белое Брют,Белое,Светло-соломенный,Крым,"Рислинг, Ркацители, Совиньон Блан, Совиньон Зеленый","Вкус сухой и чистый, с выразительной свежестью, тонкой структурой и элегантным балансом. Послевкусие продолжительное, освежающее и утонченное.

В аромате белые цветы, персик, цитрусовые.",AGORA WINERY,agora-rosa-viva-beloe-bryut,O4nl0YWdgyo6HNd_1775200002.webp,prod-svoe-vino-strapi\O4nl0_Y_Wdgyo6_H_Nd_1775200002_52181b7f44.webp,ok,1,False,
Agora Rosa Viva Белое Полусладкое,Белое,Светло-золотистый,Крым,"Рислинг, Ркацители, Совиньон Блан, Совиньон Зеленый","Вкус гармоничный и округлый, с деликатной сладостью, подчёркнутой свежей кислотностью. Послевкусие плавное, утончённое и продолжительное.

В аромате белые цветы, персик, цитрусовые.",AGORA WINERY,agora-rosa-viva-beloe-polusladkoe,ugbHOGJxxJ9PvCj_1775200212.webp,prod-svoe-vino-strapi\ugb_HOG_Jxx_J9_Pv_Cj_1775200212_f3b8b5681b.webp,ok,1,False,
Agora Rosa Viva Розовое Полусладкое,Розовое,Розовый,Крым,"Пино Нуар, Совиньон Блан, Шардоне","Вкус мягкий и сбалансированный, с выразительной, элегантной сладостью и освежающей структурой. Послевкусие бархатное и продолжительное.

В аромате красные ягоды, цитрусовые, свежесть.",AGORA WINERY,agora-rosa-viva-rozovoe-polusladkoe,obmsa6YZNZPDCKY_1775200312.webp,prod-svoe-vino-strapi\obmsa6_YZNZPDCKY_1775200312_524a5e0fbb.webp,ok,1,False,
